<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PETR3.SA,D,20061026,000000,48.27,48.84,47.54,48.00,677600,0
PETR3.SA,D,20061027,000000,47.70,48.39,47.40,47.69,856900,0
PETR3.SA,D,20061030,000000,47.69,47.69,46.75,46.80,666100,0
PETR3.SA,D,20061031,000000,47.10,47.40,46.00,47.40,837900,0
PETR3.SA,D,20061101,000000,47.01,47.38,46.50,46.75,737800,0
PETR3.SA,D,20061103,000000,46.73,47.87,46.72,47.80,771100,0
PETR3.SA,D,20061106,000000,48.01,48.69,47.80,48.69,1010800,0
PETR3.SA,D,20061107,000000,48.30,48.90,47.96,48.10,1893300,0
PETR3.SA,D,20061108,000000,48.00,49.44,47.70,49.44,939700,0
PETR3.SA,D,20061109,000000,49.52,50.25,49.10,49.35,1114800,0
PETR3.SA,D,20061110,000000,49.69,50.23,48.90,49.95,737700,0
PETR3.SA,D,20061113,000000,49.04,49.78,48.40,48.43,1750900,0
PETR3.SA,D,20061114,000000,49.00,49.46,48.30,48.99,1841600,0
PETR3.SA,D,20061116,000000,49.15,49.55,48.15,48.20,1278600,0
PETR3.SA,D,20061117,000000,47.80,48.30,47.14,48.30,1843100,0
PETR3.SA,D,20061121,000000,48.30,49.29,48.00,49.29,967800,0
PETR3.SA,D,20061122,000000,49.45,49.55,48.42,49.38,836600,0
PETR3.SA,D,20061123,000000,49.41,49.47,49.01,49.20,438000,0
PETR3.SA,D,20061124,000000,48.75,49.49,48.75,49.15,681400,0
PETR3.SA,D,20061127,000000,48.90,49.42,48.54,49.00,1251600,0
PETR3.SA,D,20061128,000000,49.01,49.57,48.30,49.30,1327900,0
PETR3.SA,D,20061129,000000,49.30,51.00,49.30,50.85,1986500,0
PETR3.SA,D,20061130,000000,51.07,51.40,50.70,51.00,1380600,0
PETR3.SA,D,20061201,000000,51.10,51.10,49.95,50.50,819400,0
PETR3.SA,D,20061204,000000,50.50,51.55,50.15,51.49,793600,0
PETR3.SA,D,20061205,000000,51.40,52.50,51.40,52.19,1070400,0
