<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PETR3.SA,D,20000324,000000,26.87,26.94,26.56,26.75,231360000,0
PETR3.SA,D,20000327,000000,26.81,27.81,26.81,27.75,713280000,0
PETR3.SA,D,20000328,000000,27.50,27.69,27.31,27.38,456320000,0
PETR3.SA,D,20000329,000000,27.50,27.50,26.69,26.84,84000000,0
PETR3.SA,D,20000330,000000,26.50,27.50,26.44,27.50,267520000,0
PETR3.SA,D,20000331,000000,27.38,27.56,26.88,27.50,144960000,0
PETR3.SA,D,20000403,000000,27.50,27.50,27.06,27.12,429920000,0
PETR3.SA,D,20000404,000000,27.19,27.19,25.00,26.75,424480000,0
PETR3.SA,D,20000405,000000,25.94,27.94,25.94,27.50,812800000,0
PETR3.SA,D,20000406,000000,27.94,28.12,27.56,27.62,565600000,0
PETR3.SA,D,20000407,000000,27.87,27.94,27.56,27.81,334560000,0
PETR3.SA,D,20000410,000000,27.50,27.50,27.12,27.12,82400000,0
PETR3.SA,D,20000411,000000,26.88,27.00,26.31,26.56,220640000,0
PETR3.SA,D,20000412,000000,26.56,28.31,26.56,27.62,571840000,0
PETR3.SA,D,20000413,000000,28.19,28.19,26.38,26.44,249600000,0
PETR3.SA,D,20000414,000000,26.44,26.44,24.62,25.00,418880000,0
PETR3.SA,D,20000417,000000,24.62,25.00,22.38,25.00,336640000,0
PETR3.SA,D,20000418,000000,25.00,25.00,23.75,24.38,741920000,0
PETR3.SA,D,20000419,000000,24.50,24.50,23.44,23.44,192960000,0
PETR3.SA,D,20000420,000000,24.00,24.00,23.12,23.62,51360000,0
PETR3.SA,D,20000421,000000,23.62,23.62,23.62,23.62,000,0
PETR3.SA,D,20000424,000000,23.62,23.62,22.50,23.19,56320000,0
PETR3.SA,D,20000425,000000,25.00,25.00,24.06,24.69,234720000,0
PETR3.SA,D,20000426,000000,25.00,25.00,24.38,24.38,133440000,0
PETR3.SA,D,20000427,000000,23.75,24.69,23.75,24.38,228800000,0
PETR3.SA,D,20000428,000000,25.00,25.06,24.68,25.00,474560000,0
PETR3.SA,D,20000501,000000,25.00,25.00,25.00,25.00,000,0
PETR3.SA,D,20000502,000000,25.62,25.62,25.06,25.19,389760000,0
PETR3.SA,D,20000503,000000,25.06,25.06,24.69,24.88,256480000,0
PETR3.SA,D,20000504,000000,24.38,25.00,24.38,24.69,147040000,0
PETR3.SA,D,20000505,000000,24.69,24.69,24.38,24.62,244800000,0
PETR3.SA,D,20000508,000000,24.38,24.56,24.06,24.06,51040000,0
PETR3.SA,D,20000509,000000,24.56,24.56,23.56,23.64,138400000,0
PETR3.SA,D,20000510,000000,23.64,23.75,23.44,23.56,281920000,0
PETR3.SA,D,20000511,000000,23.75,23.75,22.57,22.57,236960000,0
PETR3.SA,D,20000512,000000,22.81,23.00,22.19,22.19,299040000,0
PETR3.SA,D,20000515,000000,22.25,24.25,22.19,23.75,217600000,0
PETR3.SA,D,20000516,000000,24.38,24.56,23.88,24.31,151200000,0
PETR3.SA,D,20000517,000000,23.75,23.75,23.31,23.62,135680000,0
PETR3.SA,D,20000518,000000,23.75,23.75,23.50,23.75,442240000,0
PETR3.SA,D,20000519,000000,23.12,23.19,22.81,23.06,123200000,0
PETR3.SA,D,20000522,000000,23.12,23.12,21.62,22.12,410560000,0
PETR3.SA,D,20000523,000000,22.50,23.74,22.12,23.69,881920000,0
PETR3.SA,D,20000524,000000,23.75,24.38,23.56,23.94,517920000,0
PETR3.SA,D,20000525,000000,25.00,25.00,23.56,24.06,437280000,0
PETR3.SA,D,20000526,000000,24.06,24.44,23.69,23.75,150720000,0
PETR3.SA,D,20000529,000000,24.00,24.06,23.62,23.75,122080000,0
PETR3.SA,D,20000530,000000,24.06,24.94,23.81,24.94,618240000,0
PETR3.SA,D,20000531,000000,25.00,25.50,24.75,25.31,1019840000,0
PETR3.SA,D,20000601,000000,25.31,26.25,25.25,26.25,615200000,0
PETR3.SA,D,20000602,000000,26.81,28.56,26.56,28.12,1153600000,0
PETR3.SA,D,20000605,000000,27.81,28.69,27.81,28.69,955680000,0
PETR3.SA,D,20000606,000000,28.69,28.69,28.69,28.69,000,0
PETR3.SA,D,20000607,000000,28.12,29.06,27.94,29.06,719840000,0
PETR3.SA,D,20000608,000000,29.38,30.00,29.19,29.38,516480000,0
PETR3.SA,D,20000609,000000,29.19,30.00,29.19,29.75,375680000,0
PETR3.SA,D,20000612,000000,29.38,29.75,28.94,29.06,94400000,0
PETR3.SA,D,20000613,000000,29.06,29.31,28.81,28.81,235200000,0
PETR3.SA,D,20000614,000000,29.69,29.69,27.88,28.38,292480000,0
PETR3.SA,D,20000615,000000,28.38,28.94,28.12,28.50,311040000,0
PETR3.SA,D,20000616,000000,29.00,29.41,28.75,29.19,418880000,0
PETR3.SA,D,20000619,000000,29.06,29.88,29.06,29.50,591840000,0
PETR3.SA,D,20000620,000000,29.44,29.97,29.28,29.97,406400000,0
PETR3.SA,D,20000621,000000,30.00,30.94,30.00,30.88,361600000,0
PETR3.SA,D,20000622,000000,30.88,30.88,30.88,30.88,000,0
PETR3.SA,D,20000623,000000,3.12,3.12,3.01,3.04,3470400,0
PETR3.SA,D,20000626,000000,3.04,3.09,3.01,3.03,4539200,0
PETR3.SA,D,20000627,000000,3.04,3.28,3.04,3.24,6435200,0
PETR3.SA,D,20000628,000000,3.24,3.36,3.21,3.22,7332800,0
PETR3.SA,D,20000629,000000,3.20,3.23,3.12,3.16,5673600,0
PETR3.SA,D,20000630,000000,3.19,3.31,3.19,3.31,8484800,0
PETR3.SA,D,20000703,000000,3.33,3.38,3.30,3.31,2988800,0
PETR3.SA,D,20000704,000000,3.34,3.41,3.34,3.40,3160000,0
PETR3.SA,D,20000705,000000,3.41,3.46,3.34,3.44,8217600,0
PETR3.SA,D,20000706,000000,3.38,3.41,3.31,3.35,5288000,0
PETR3.SA,D,20000707,000000,3.35,3.38,3.22,3.25,7459200,0
PETR3.SA,D,20000710,000000,3.22,3.31,3.20,3.25,4844800,0
PETR3.SA,D,20000711,000000,3.25,3.25,3.03,3.06,4804800,0
PETR3.SA,D,20000712,000000,3.11,3.12,2.94,3.03,9643200,0
PETR3.SA,D,20000713,000000,3.03,3.04,2.94,2.96,2921600,0
PETR3.SA,D,20000714,000000,3.00,3.06,2.96,3.05,3307200,0
PETR3.SA,D,20000717,000000,3.16,3.16,2.99,3.03,24331200,0
PETR3.SA,D,20000718,000000,3.00,3.02,2.94,2.95,5086400,0
PETR3.SA,D,20000719,000000,2.94,3.00,2.92,2.98,5134400,0
PETR3.SA,D,20000720,000000,3.00,3.16,3.00,3.11,4497600,0
PETR3.SA,D,20000721,000000,3.09,3.19,3.09,3.12,4115200,0
PETR3.SA,D,20000724,000000,3.12,3.16,3.04,3.05,3700800,0
PETR3.SA,D,20000725,000000,3.06,3.09,2.92,2.98,6299200,0
PETR3.SA,D,20000726,000000,2.94,3.03,2.92,3.00,4164800,0
PETR3.SA,D,20000727,000000,3.00,3.04,2.94,3.01,6825600,0
PETR3.SA,D,20000728,000000,3.01,3.01,2.87,2.90,5697600,0
PETR3.SA,D,20000731,000000,2.94,3.00,2.90,2.90,1707200,0
PETR3.SA,D,20000801,000000,2.94,2.97,2.82,2.87,4656000,0
PETR3.SA,D,20000802,000000,2.88,2.94,2.82,2.90,4209600,0
PETR3.SA,D,20000803,000000,2.84,3.03,2.84,3.00,1905600,0
PETR3.SA,D,20000804,000000,3.03,3.05,2.81,2.88,7435200,0
PETR3.SA,D,20000807,000000,2.91,2.97,2.84,2.97,28491200,0
PETR3.SA,D,20000808,000000,2.97,2.97,2.79,2.87,27793600,0
PETR3.SA,D,20000809,000000,2.91,2.91,2.74,2.83,53856000,0
PETR3.SA,D,20000810,000000,2.78,3.22,2.75,3.16,111593600,0
PETR3.SA,D,20000811,000000,3.19,3.28,3.03,3.22,37950400,0
PETR3.SA,D,20000814,000000,3.22,3.22,3.16,3.21,22000000,0
PETR3.SA,D,20000815,000000,3.21,3.31,3.18,3.21,23283200,0
PETR3.SA,D,20000816,000000,3.25,3.36,3.20,3.33,36820800,0
PETR3.SA,D,20000817,000000,3.31,3.50,3.31,3.48,33964800,0
PETR3.SA,D,20000818,000000,3.46,3.47,3.22,3.30,20332800,0
PETR3.SA,D,20000821,000000,3.28,3.33,3.23,3.25,12334400,0
PETR3.SA,D,20000822,000000,3.25,3.33,3.25,3.33,13163200,0
PETR3.SA,D,20000823,000000,3.30,3.42,3.30,3.41,21235200,0
PETR3.SA,D,20000824,000000,3.41,3.41,3.31,3.31,11470400,0
PETR3.SA,D,20000825,000000,3.38,3.46,3.33,3.43,21347200,0
PETR3.SA,D,20000828,000000,3.43,3.44,3.40,3.44,8864000,0
PETR3.SA,D,20000829,000000,3.41,3.53,3.41,3.53,19052800,0
PETR3.SA,D,20000830,000000,3.53,3.74,3.53,3.67,34177600,0
PETR3.SA,D,20000831,000000,3.67,3.69,3.59,3.61,23864000,0
PETR3.SA,D,20000901,000000,3.62,3.63,3.54,3.55,10676800,0
PETR3.SA,D,20000904,000000,3.59,3.59,3.54,3.54,1547200,0
PETR3.SA,D,20000905,000000,3.54,3.59,3.52,3.57,8617600,0
PETR3.SA,D,20000906,000000,3.59,3.78,3.59,3.74,15446400,0
PETR3.SA,D,20000907,000000,3.74,3.74,3.74,3.74,000,0
PETR3.SA,D,20000908,000000,3.74,3.78,3.69,3.73,9814400,0
PETR3.SA,D,20000911,000000,3.69,3.81,3.66,3.77,14227200,0
PETR3.SA,D,20000912,000000,3.80,3.80,3.66,3.68,15238400,0
PETR3.SA,D,20000913,000000,3.62,3.67,3.55,3.56,13368000,0
PETR3.SA,D,20000914,000000,3.60,3.61,3.47,3.49,10540800,0
PETR3.SA,D,20000915,000000,3.47,3.59,3.43,3.47,5696000,0
PETR3.SA,D,20000918,000000,3.47,3.53,3.40,3.42,9920000,0
PETR3.SA,D,20000919,000000,3.45,3.47,3.40,3.40,6257600,0
PETR3.SA,D,20000920,000000,3.42,3.54,3.40,3.53,16616000,0
PETR3.SA,D,20000921,000000,3.49,3.49,3.37,3.40,6545600,0
PETR3.SA,D,20000922,000000,3.25,3.39,3.25,3.36,9204800,0
PETR3.SA,D,20000925,000000,3.36,3.41,3.31,3.38,8276800,0
PETR3.SA,D,20000926,000000,3.39,3.53,3.38,3.46,6150400,0
PETR3.SA,D,20000927,000000,3.50,3.58,3.44,3.49,14812800,0
PETR3.SA,D,20000928,000000,3.47,3.52,3.44,3.45,5305600,0
PETR3.SA,D,20000929,000000,3.45,3.48,3.42,3.45,5593600,0
PETR3.SA,D,20001002,000000,3.45,3.49,3.44,3.46,19707200,0
PETR3.SA,D,20001003,000000,3.47,3.51,3.46,3.49,8601600,0
PETR3.SA,D,20001004,000000,3.49,3.51,3.45,3.49,6081600,0
PETR3.SA,D,20001005,000000,3.49,3.49,3.49,3.49,000,0
PETR3.SA,D,20001006,000000,3.50,3.52,3.38,3.44,5441600,0
PETR3.SA,D,20001009,000000,3.44,3.46,3.38,3.42,5340800,0
PETR3.SA,D,20001010,000000,3.46,3.56,3.44,3.53,10128000,0
PETR3.SA,D,20001011,000000,3.53,3.58,3.53,3.53,10235200,0
PETR3.SA,D,20001012,000000,3.53,3.53,3.53,3.53,000,0
PETR3.SA,D,20001013,000000,3.66,3.68,3.59,3.61,7024000,0
PETR3.SA,D,20001016,000000,3.61,3.61,3.49,3.50,7416000,0
PETR3.SA,D,20001017,000000,3.50,3.51,3.37,3.37,7484800,0
PETR3.SA,D,20001018,000000,3.31,3.41,3.25,3.37,31438400,0
PETR3.SA,D,20001019,000000,3.44,3.49,3.41,3.48,14862400,0
PETR3.SA,D,20001020,000000,3.47,3.51,3.41,3.41,6345600,0
PETR3.SA,D,20001023,000000,3.38,3.43,3.30,3.31,6776000,0
PETR3.SA,D,20001024,000000,3.31,3.31,3.31,3.31,000,0
PETR3.SA,D,20001025,000000,3.12,3.22,3.11,3.16,16424000,0
PETR3.SA,D,20001026,000000,3.16,3.41,3.15,3.37,13712000,0
PETR3.SA,D,20001027,000000,3.38,3.42,3.35,3.38,11558400,0
PETR3.SA,D,20001030,000000,3.38,3.49,3.31,3.49,10124800,0
PETR3.SA,D,20001031,000000,3.49,3.53,3.42,3.46,12547200,0
PETR3.SA,D,20001101,000000,3.42,3.50,3.37,3.50,5808000,0
PETR3.SA,D,20001102,000000,3.50,3.50,3.50,3.50,000,0
PETR3.SA,D,20001103,000000,3.50,3.53,3.41,3.42,5990400,0
PETR3.SA,D,20001106,000000,3.38,3.50,3.38,3.46,5070400,0
PETR3.SA,D,20001107,000000,3.42,3.55,3.42,3.55,10908800,0
PETR3.SA,D,20001108,000000,3.55,3.60,3.51,3.51,10704000,0
PETR3.SA,D,20001109,000000,3.51,3.51,3.39,3.45,11667200,0
PETR3.SA,D,20001110,000000,3.46,3.47,3.38,3.41,8171200,0
PETR3.SA,D,20001113,000000,3.34,3.43,3.34,3.42,5067200,0
PETR3.SA,D,20001114,000000,3.42,3.42,3.42,3.42,000,0
PETR3.SA,D,20001115,000000,3.42,3.42,3.42,3.42,000,0
PETR3.SA,D,20001116,000000,3.38,3.49,3.38,3.46,6243200,0
PETR3.SA,D,20001117,000000,3.50,3.55,3.45,3.47,10244800,0
PETR3.SA,D,20001120,000000,3.48,3.48,3.38,3.42,4657600,0
PETR3.SA,D,20001121,000000,3.44,3.48,3.42,3.46,6457600,0
PETR3.SA,D,20001122,000000,3.49,3.49,3.45,3.46,12854400,0
PETR3.SA,D,20001123,000000,3.47,3.47,3.31,3.38,4851200,0
PETR3.SA,D,20001124,000000,3.43,3.43,3.31,3.36,6211200,0
PETR3.SA,D,20001127,000000,3.36,3.41,3.26,3.30,7673600,0
PETR3.SA,D,20001128,000000,3.28,3.31,3.24,3.26,11121600,0
PETR3.SA,D,20001129,000000,3.31,3.31,3.22,3.22,5259200,0
PETR3.SA,D,20001130,000000,3.22,3.24,3.16,3.19,9316800,0
PETR3.SA,D,20001201,000000,3.19,3.22,3.15,3.17,2740800,0
PETR3.SA,D,20001204,000000,3.17,3.17,3.13,3.17,4145600,0
PETR3.SA,D,20001205,000000,3.31,3.31,3.22,3.22,4136000,0
PETR3.SA,D,20001206,000000,3.21,3.21,2.99,3.01,11459200,0
PETR3.SA,D,20001207,000000,3.01,3.03,2.97,3.00,15001600,0
PETR3.SA,D,20001208,000000,3.00,3.07,3.00,3.04,8729600,0
PETR3.SA,D,20001211,000000,3.01,3.05,2.96,2.98,6048000,0
PETR3.SA,D,20001212,000000,2.98,2.98,2.98,2.98,000,0
PETR3.SA,D,20001213,000000,3.06,3.12,2.99,3.09,21558400,0
PETR3.SA,D,20001214,000000,3.05,3.17,3.05,3.15,12788800,0
PETR3.SA,D,20001215,000000,3.15,3.17,3.09,3.16,6944000,0
PETR3.SA,D,20001218,000000,3.19,3.19,3.10,3.14,13768000,0
PETR3.SA,D,20001219,000000,3.12,3.12,3.06,3.08,3998400,0
PETR3.SA,D,20001220,000000,3.00,3.10,3.00,3.10,10108800,0
PETR3.SA,D,20001221,000000,3.05,3.06,2.95,2.96,6940800,0
PETR3.SA,D,20001222,000000,2.98,3.06,2.97,3.02,4166400,0
PETR3.SA,D,20001225,000000,3.02,3.02,3.02,3.02,000,0
PETR3.SA,D,20001226,000000,3.02,3.04,2.97,2.98,2416000,0
PETR3.SA,D,20001227,000000,3.00,3.03,2.97,2.98,4676800,0
PETR3.SA,D,20001228,000000,2.99,3.10,2.99,3.03,5990400,0
PETR3.SA,D,20001229,000000,3.03,3.03,3.03,3.03,000,0
PETR3.SA,D,20010101,000000,3.03,3.03,3.03,3.03,000,0
PETR3.SA,D,20010102,000000,2.94,3.15,2.94,3.10,4235200,0
PETR3.SA,D,20010103,000000,3.10,3.32,3.09,3.32,6318400,0
PETR3.SA,D,20010104,000000,3.30,3.34,3.29,3.31,5992000,0
PETR3.SA,D,20010105,000000,3.33,3.37,3.27,3.27,4131200,0
PETR3.SA,D,20010108,000000,3.28,3.29,3.22,3.25,3956800,0
PETR3.SA,D,20010109,000000,3.28,3.35,3.28,3.33,4468800,0
PETR3.SA,D,20010110,000000,3.31,3.33,3.27,3.31,3819200,0
PETR3.SA,D,20010111,000000,3.27,3.34,3.27,3.29,4736000,0
PETR3.SA,D,20010112,000000,3.31,3.41,3.31,3.38,8336000,0
PETR3.SA,D,20010115,000000,3.38,3.39,3.34,3.37,1680000,0
PETR3.SA,D,20010116,000000,3.37,3.52,3.35,3.51,15350400,0
PETR3.SA,D,20010117,000000,3.55,3.71,3.54,3.59,16243200,0
PETR3.SA,D,20010118,000000,3.59,3.69,3.56,3.62,7755200,0
PETR3.SA,D,20010119,000000,3.69,3.69,3.58,3.58,9550400,0
PETR3.SA,D,20010122,000000,3.56,3.56,3.50,3.52,6996800,0
PETR3.SA,D,20010123,000000,3.52,3.60,3.52,3.53,8840000,0
PETR3.SA,D,20010124,000000,3.56,3.58,3.47,3.49,10822400,0
PETR3.SA,D,20010125,000000,3.49,3.49,3.49,3.49,000,0
PETR3.SA,D,20010126,000000,3.47,3.47,3.39,3.42,7736000,0
PETR3.SA,D,20010129,000000,3.44,3.44,3.38,3.43,5025600,0
PETR3.SA,D,20010130,000000,3.42,3.46,3.41,3.46,3040000,0
PETR3.SA,D,20010131,000000,3.47,3.49,3.42,3.42,4889600,0
PETR3.SA,D,20010201,000000,3.43,3.44,3.41,3.42,6731200,0
PETR3.SA,D,20010202,000000,3.41,3.43,3.40,3.41,4516800,0
PETR3.SA,D,20010205,000000,3.41,3.44,3.38,3.42,3153600,0
PETR3.SA,D,20010206,000000,3.42,3.51,3.41,3.47,4958400,0
PETR3.SA,D,20010207,000000,3.41,3.46,3.38,3.46,6384000,0
PETR3.SA,D,20010208,000000,3.47,3.56,3.47,3.52,4712000,0
PETR3.SA,D,20010209,000000,3.51,3.59,3.50,3.56,5755200,0
PETR3.SA,D,20010212,000000,3.56,3.62,3.53,3.54,4892800,0
PETR3.SA,D,20010213,000000,3.56,3.65,3.54,3.64,10374400,0
PETR3.SA,D,20010214,000000,3.64,3.74,3.62,3.69,11046400,0
PETR3.SA,D,20010215,000000,3.69,3.73,3.67,3.68,5052800,0
PETR3.SA,D,20010216,000000,3.69,3.69,3.55,3.62,3960000,0
PETR3.SA,D,20010219,000000,3.62,3.63,3.51,3.53,3284800,0
PETR3.SA,D,20010220,000000,3.56,3.61,3.55,3.60,15041600,0
PETR3.SA,D,20010221,000000,3.60,3.60,3.53,3.54,9700800,0
PETR3.SA,D,20010222,000000,3.56,3.60,3.53,3.58,11732800,0
PETR3.SA,D,20010223,000000,3.58,3.62,3.50,3.56,5881600,0
PETR3.SA,D,20010226,000000,3.56,3.56,3.56,3.56,000,0
PETR3.SA,D,20010227,000000,3.56,3.56,3.56,3.56,000,0
PETR3.SA,D,20010228,000000,3.74,3.74,3.56,3.59,4809600,0
PETR3.SA,D,20010301,000000,3.59,3.64,3.56,3.62,5668800,0
PETR3.SA,D,20010302,000000,3.62,3.67,3.58,3.66,4766400,0
PETR3.SA,D,20010305,000000,3.66,3.72,3.64,3.66,2444800,0
PETR3.SA,D,20010306,000000,3.69,3.70,3.64,3.67,4614400,0
PETR3.SA,D,20010307,000000,3.67,3.71,3.65,3.69,5465600,0
PETR3.SA,D,20010308,000000,3.71,3.75,3.69,3.71,7862400,0
PETR3.SA,D,20010309,000000,3.71,3.72,3.67,3.69,6206400,0
PETR3.SA,D,20010312,000000,3.59,3.71,3.59,3.59,5856000,0
PETR3.SA,D,20010313,000000,3.56,3.62,3.56,3.56,3971200,0
PETR3.SA,D,20010314,000000,3.56,3.62,3.56,3.56,3971200,0
PETR3.SA,D,20010315,000000,3.36,3.56,3.33,3.36,11600000,0
PETR3.SA,D,20010316,000000,3.31,3.56,3.25,3.46,10148800,0
PETR3.SA,D,20010319,000000,3.46,3.49,3.39,3.41,6923200,0
PETR3.SA,D,20010320,000000,3.38,3.44,3.16,3.38,8844800,0
PETR3.SA,D,20010321,000000,3.34,3.50,3.34,3.42,14292800,0
PETR3.SA,D,20010322,000000,3.27,3.38,3.24,3.27,16488000,0
PETR3.SA,D,20010323,000000,3.27,3.35,3.13,3.27,17216000,0
PETR3.SA,D,20010326,000000,3.19,3.28,3.16,3.19,5467200,0
PETR3.SA,D,20010327,000000,3.30,3.33,3.16,3.30,4556800,0
PETR3.SA,D,20010328,000000,3.25,3.31,3.22,3.25,3203200,0
PETR3.SA,D,20010329,000000,3.16,3.26,3.12,3.16,4283200,0
PETR3.SA,D,20010330,000000,3.22,3.22,3.09,3.22,6049600,0
PETR3.SA,D,20010402,000000,3.08,3.22,3.08,3.08,3201600,0
PETR3.SA,D,20010403,000000,3.09,3.11,3.08,3.09,3371200,0
PETR3.SA,D,20010404,000000,3.16,3.21,3.12,3.16,9787200,0
PETR3.SA,D,20010405,000000,3.36,3.38,3.16,3.36,4308800,0
PETR3.SA,D,20010406,000000,3.45,3.47,3.36,3.45,5868800,0
PETR3.SA,D,20010409,000000,3.47,3.51,3.44,3.47,2147200,0
PETR3.SA,D,20010410,000000,3.47,3.53,3.47,3.47,4713600,0
PETR3.SA,D,20010411,000000,3.41,3.51,3.38,3.41,1768000,0
PETR3.SA,D,20010412,000000,3.31,3.38,3.22,3.31,6188800,0
PETR3.SA,D,20010413,000000,3.31,3.31,3.31,3.31,000,0
PETR3.SA,D,20010416,000000,3.29,3.30,3.19,3.29,2246400,0
PETR3.SA,D,20010417,000000,3.34,3.34,3.28,3.34,3496000,0
PETR3.SA,D,20010418,000000,3.50,3.56,3.34,3.50,4713600,0
PETR3.SA,D,20010419,000000,3.38,3.49,3.38,3.38,5355200,0
PETR3.SA,D,20010420,000000,3.28,3.34,3.25,3.28,6956800,0
PETR3.SA,D,20010423,000000,3.25,3.46,3.24,3.46,6416000,0
PETR3.SA,D,20010424,000000,3.48,3.61,3.46,3.60,6856000,0
PETR3.SA,D,20010425,000000,3.50,3.72,3.50,3.69,12416000,0
PETR3.SA,D,20010426,000000,3.69,3.81,3.69,3.69,9241600,0
PETR3.SA,D,20010427,000000,3.78,3.79,3.69,3.69,5884800,0
PETR3.SA,D,20010430,000000,3.69,3.72,3.68,3.68,2684800,0
PETR3.SA,D,20010501,000000,3.68,3.68,3.68,3.68,000,0
PETR3.SA,D,20010502,000000,3.68,3.68,3.68,3.68,000,0
PETR3.SA,D,20010503,000000,3.73,3.81,3.69,3.81,15212800,0
PETR3.SA,D,20010504,000000,3.69,3.86,3.69,3.80,8499200,0
PETR3.SA,D,20010507,000000,3.75,3.79,3.66,3.68,2984000,0
PETR3.SA,D,20010508,000000,3.68,3.69,3.64,3.67,5331200,0
PETR3.SA,D,20010509,000000,3.67,3.67,3.67,3.67,000,0
PETR3.SA,D,20010510,000000,3.76,3.88,3.76,3.86,6056000,0
PETR3.SA,D,20010511,000000,3.87,3.88,3.75,3.81,6363200,0
PETR3.SA,D,20010514,000000,3.79,3.83,3.75,3.83,2038400,0
PETR3.SA,D,20010515,000000,3.83,3.86,3.75,3.75,2579200,0
PETR3.SA,D,20010516,000000,3.81,3.88,3.75,3.84,4566400,0
PETR3.SA,D,20010517,000000,3.84,3.94,3.84,3.90,4176000,0
PETR3.SA,D,20010518,000000,3.94,4.01,3.94,3.99,4284800,0
PETR3.SA,D,20010521,000000,3.99,4.03,3.97,4.01,7091200,0
PETR3.SA,D,20010522,000000,4.01,4.09,4.01,4.05,5475200,0
PETR3.SA,D,20010523,000000,4.06,4.14,4.01,4.09,4291200,0
PETR3.SA,D,20010524,000000,4.09,4.09,3.99,4.05,10992000,0
PETR3.SA,D,20010525,000000,4.06,4.06,3.94,3.95,3457600,0
PETR3.SA,D,20010528,000000,3.95,3.97,3.88,3.92,1262400,0
PETR3.SA,D,20010529,000000,3.94,4.03,3.94,4.02,9100800,0
PETR3.SA,D,20010530,000000,4.02,4.02,4.02,4.02,000,0
PETR3.SA,D,20010531,000000,4.06,4.20,4.06,4.19,5400000,0
PETR3.SA,D,20010601,000000,4.19,4.25,4.15,4.19,4753600,0
PETR3.SA,D,20010604,000000,4.25,4.43,4.25,4.38,3988800,0
PETR3.SA,D,20010605,000000,4.38,4.39,4.25,4.28,8478400,0
PETR3.SA,D,20010606,000000,4.25,4.34,4.13,4.13,8985600,0
PETR3.SA,D,20010607,000000,4.13,4.16,4.03,4.03,8310400,0
PETR3.SA,D,20010608,000000,4.08,4.08,3.96,4.00,2904000,0
PETR3.SA,D,20010611,000000,4.01,4.03,3.97,4.01,2555200,0
PETR3.SA,D,20010612,000000,4.02,4.03,3.93,4.00,3356800,0
PETR3.SA,D,20010613,000000,4.02,4.19,3.94,4.06,8529600,0
PETR3.SA,D,20010614,000000,4.06,4.06,4.06,4.06,000,0
PETR3.SA,D,20010615,000000,4.09,4.09,3.99,3.99,1507200,0
PETR3.SA,D,20010618,000000,3.94,3.99,3.94,3.98,2505600,0
PETR3.SA,D,20010619,000000,4.00,4.04,4.00,4.02,1876800,0
PETR3.SA,D,20010620,000000,4.05,4.17,4.05,4.15,4796800,0
PETR3.SA,D,20010621,000000,4.12,4.14,4.07,4.12,4139200,0
PETR3.SA,D,20010622,000000,4.12,4.12,3.97,3.97,4193600,0
PETR3.SA,D,20010625,000000,3.97,3.97,3.86,3.86,1990400,0
PETR3.SA,D,20010626,000000,3.86,3.94,3.86,3.91,3616000,0
PETR3.SA,D,20010627,000000,3.83,3.99,3.72,3.75,4174400,0
PETR3.SA,D,20010628,000000,3.64,3.81,3.63,3.72,4979200,0
PETR3.SA,D,20010629,000000,3.72,3.78,3.69,3.76,5640000,0
PETR3.SA,D,20010702,000000,3.71,3.72,3.64,3.64,4497600,0
PETR3.SA,D,20010703,000000,3.66,3.66,3.54,3.55,4284800,0
PETR3.SA,D,20010704,000000,3.55,3.55,3.55,3.55,000,0
PETR3.SA,D,20010705,000000,3.56,3.61,3.51,3.56,6310400,0
PETR3.SA,D,20010706,000000,3.56,3.66,3.53,3.64,9579200,0
PETR3.SA,D,20010709,000000,3.64,3.64,3.64,3.64,000,0
PETR3.SA,D,20010710,000000,3.66,3.69,3.62,3.66,2184000,0
PETR3.SA,D,20010711,000000,3.59,3.80,3.59,3.80,7336000,0
PETR3.SA,D,20010712,000000,3.78,3.78,3.72,3.75,3452800,0
PETR3.SA,D,20010713,000000,3.78,3.79,3.67,3.71,2382400,0
PETR3.SA,D,20010716,000000,3.75,3.75,3.58,3.58,3320000,0
PETR3.SA,D,20010717,000000,3.56,3.57,3.50,3.54,7400000,0
PETR3.SA,D,20010718,000000,3.54,3.54,3.39,3.46,5563200,0
PETR3.SA,D,20010719,000000,3.39,3.53,3.39,3.44,2608000,0
PETR3.SA,D,20010720,000000,3.44,3.53,3.39,3.52,1128000,0
PETR3.SA,D,20010723,000000,3.56,3.63,3.53,3.61,1969600,0
PETR3.SA,D,20010724,000000,3.58,3.62,3.55,3.59,4384000,0
PETR3.SA,D,20010725,000000,3.59,3.65,3.58,3.64,2400000,0
PETR3.SA,D,20010726,000000,3.64,3.71,3.64,3.65,8825600,0
PETR3.SA,D,20010727,000000,3.72,3.72,3.62,3.66,2067200,0
PETR3.SA,D,20010730,000000,3.69,3.72,3.64,3.64,2132800,0
PETR3.SA,D,20010731,000000,3.63,3.67,3.62,3.66,2832000,0
PETR3.SA,D,20010801,000000,3.64,3.68,3.58,3.59,2734400,0
PETR3.SA,D,20010802,000000,3.58,3.59,3.50,3.51,2729600,0
PETR3.SA,D,20010803,000000,3.58,3.62,3.56,3.62,3284800,0
PETR3.SA,D,20010806,000000,3.66,3.65,3.59,3.59,3254400,0
PETR3.SA,D,20010807,000000,3.59,3.62,3.56,3.61,4627200,0
